seed_keyword	keyword	monthly_search	product_count	keyword_id
물조리개	화분 물조리개	650	136041	237509805
식물지지대	다이소 식물지지대	630	23	238689594
수태	수택	610	219	104853730
비닐하우스	비닐하우스 보온덮개	610	17661	240746828
가드닝	홈가드닝	610	232760	3783842
배양토	잘자람 배양토	590	97	312452123
퇴비	완숙 퇴비	590	585	279067866
자갈	콩자갈셀프시공	580	224	291356930
화분받침	화분물받이	570	123625	49696
화분받침	화분걸이	570	172973	28725
상토	갈맥상통	550	0	337673861
분갈이흙	다육이 분갈이 흙	550	26093	240126403
화산석	화산석식탁	550	12758	29281
텃밭	텃밭 지지대	550	108284	258212094
마사토	세척마사토 20kg	540	756	256164492
화분받침	직사각화분	540	79294	28669
물조리개	다이소 물조리개	520	34	237509806
모종	모조에스핀 패딩	520	888	238791334
퇴비	마크 퇴비통	490	0	259559533
화분	화분이름표	480	85655	49726
저면관수	저면관수 트레이	470	3203	266463388
분갈이흙	화분 분갈이 흙	460	70980	237471536
상토	상통	450	515	5069210
식물영양제	수경식물 영양제	450	5658	237439655
토양살충제	삼진충 토양살충제	440	8	499199088
플로랄폼	다이소 플로랄폼	440	2012	238015815
텃밭	텃밭상자	440	156910	28684
퇴비	가축분퇴비	440	2283	3834499
식물영양제	식물영양제 사용법	420	169896	237509954
바크	오키아타바크	410	1373	83807782
멀칭	비닐멀칭기	410	59479	7535080
분갈이흙	분갈이흙마사토	400	11373	48789151
마사토	분갈이흙마사토	400	11373	48789151
화분받침	거실 화분 받침대	400	95399	252038369
화산석	화산석 디퓨저	390	1973	258109624
씨앗	딸기 씨앗	390	4235	237754544
자갈	어항자갈	380	80167	3768107
토양살충제	토양살균제	380	1030	3835116
분갈이흙	분갈이흙펄라이트	370	99969	61403983
분갈이흙	분갈이흙화분	370	63109	48789152
펄라이트	분갈이흙펄라이트	370	99969	61403983
비닐하우스	비닐하우스 문래	370	68713	300882251
조경석	조경석쌓기	370	85	237236310
화분받침	바퀴받침대	360	340418	3357703
코코피트	햄스터 코코피트	350	126	334780201
